module,path,loc,src_incoming,src_outgoing,test_text_refs,flags
bremen.system_of_record,src/bremen/system_of_record.py,220,0,0,4,
bremen.training,src/bremen/training/__init__.py,6,0,0,32,
bremen.training.model_release,src/bremen/training/model_release.py,392,1,2,1,
bremen.training.pipeline,src/bremen/training/pipeline.py,736,2,0,3,
bremen.training.publish_model_package,src/bremen/training/publish_model_package.py,99,0,1,6,
bremen.training.publish_v01,src/bremen/training/publish_v01.py,153,0,0,11,
bremen.training.train_classifier,src/bremen/training/train_classifier.py,40,0,1,1,
bremen.workspace_ui,src/bremen/workspace_ui.py,1334,2,0,5,
bremen.api.http.__init__,src/bremen/api/http/__init__.py,0,0,0,0,ADDED PR0162
bremen.api.http.app,src/bremen/api/http/app.py,99,0,0,0,ADDED PR0162
bremen.api.http.auth_config,src/bremen/api/http/auth_config.py,15,0,0,0,ADDED PR0162
bremen.api.http.dev_support,src/bremen/api/http/dev_support.py,15,0,0,0,ADDED PR0162
bremen.api.http.http_policy,src/bremen/api/http/http_policy.py,213,0,0,0,ADDED PR0162
bremen.api.http.routers.__init__,src/bremen/api/http/routers/__init__.py,0,0,0,0,ADDED PR0162
bremen.api.http.routers.auth,src/bremen/api/http/routers/auth.py,212,0,0,0,ADDED PR0162
bremen.api.http.routers.events,src/bremen/api/http/routers/events.py,207,0,0,0,ADDED PR0162
bremen.api.http.routers.jobs,src/bremen/api/http/routers/jobs.py,396,0,0,0,ADDED PR0162
bremen.api.http.routers.models,src/bremen/api/http/routers/models.py,142,0,0,0,ADDED PR0162
bremen.api.http.routers.reports,src/bremen/api/http/routers/reports.py,166,0,0,0,ADDED PR0162
bremen.api.http.routers.sources,src/bremen/api/http/routers/sources.py,55,0,0,0,ADDED PR0162
bremen.api.http.routers.system,src/bremen/api/http/routers/system.py,49,0,0,0,ADDED PR0162
bremen.api.http.routers.ui,src/bremen/api/http/routers/ui.py,200,0,0,0,ADDED PR0162
bremen.api.http.system_support,src/bremen/api/http/system_support.py,189,0,0,0,ADDED PR0162
bremen.contracts.__init__,src/bremen/contracts/__init__.py,0,0,0,0,ADDED PR0162
bremen.contracts.canonical_input,src/bremen/contracts/canonical_input.py,114,0,0,0,ADDED PR0162
bremen.contracts.events,src/bremen/contracts/events.py,244,0,0,0,ADDED PR0162
bremen.contracts.execution,src/bremen/contracts/execution.py,88,0,0,0,ADDED PR0162
bremen.contracts.legacy_errors,src/bremen/contracts/legacy_errors.py,13,0,0,0,ADDED PR0162
bremen.contracts.model_runtime,src/bremen/contracts/model_runtime.py,350,0,0,0,ADDED PR0162
bremen.contracts.reports,src/bremen/contracts/reports.py,138,0,0,0,ADDED PR0162
bremen.contracts.request,src/bremen/contracts/request.py,19,0,0,0,ADDED PR0162
bremen.contracts.results,src/bremen/contracts/results.py,128,0,0,0,ADDED PR0162
bremen.contracts.trace,src/bremen/contracts/trace.py,68,0,0,0,ADDED PR0162
bremen.model_packages.bremen_v01.decision,src/bremen/model_packages/bremen_v01/decision.py,282,0,0,0,ADDED PR0162
bremen.model_packages.bremen_v01.symmetry_signals,src/bremen/model_packages/bremen_v01/symmetry_signals.py,487,0,0,0,ADDED PR0162
bremen.platform.__init__,src/bremen/platform/__init__.py,0,0,0,0,ADDED PR0162
bremen.platform.events.__init__,src/bremen/platform/events/__init__.py,1,0,0,0,ADDED PR0162
bremen.platform.events.context,src/bremen/platform/events/context.py,91,0,0,0,ADDED PR0162
bremen.platform.events.store,src/bremen/platform/events/store.py,252,0,0,0,ADDED PR0162
bremen.platform.events.trace,src/bremen/platform/events/trace.py,191,0,0,0,ADDED PR0162
bremen.platform.events_trace,src/bremen/platform/events_trace.py,155,0,0,0,ADDED PR0162
bremen.platform.jobs.__init__,src/bremen/platform/jobs/__init__.py,0,0,0,0,ADDED PR0162
bremen.platform.jobs.models,src/bremen/platform/jobs/models.py,129,0,0,0,ADDED PR0162
bremen.platform.jobs.repository,src/bremen/platform/jobs/repository.py,107,0,0,0,ADDED PR0162
